countryName,alpha3,countryCode,region,subRegion,regionCode,subRegionCode
Afghanistan,AFG,4,Asia,Southern Asia,142,34
Åland Islands,ALA,248,Europe,Northern Europe,150,154
Albania,ALB,8,Europe,Southern Europe,150,39
Algeria,DZA,12,Africa,Northern Africa,2,15
American Samoa,ASM,16,Oceania,Polynesia,9,61
Andorra,AND,20,Europe,Southern Europe,150,39
Angola,AGO,24,Africa,Sub-Saharan Africa,2,202
Anguilla,AIA,660,Americas,Latin America and the Caribbean,19,419
Antarctica,ATA,10,,,0,0
Antigua and Barbuda,ATG,28,Americas,Latin America and the Caribbean,19,419
Argentina,ARG,32,Americas,Latin America and the Caribbean,19,419
Armenia,ARM,51,Asia,Western Asia,142,145
Aruba,ABW,533,Americas,Latin America and the Caribbean,19,419
Australia,AUS,36,Oceania,Australia and New Zealand,9,53
Austria,AUT,40,Europe,Western Europe,150,155
Azerbaijan,AZE,31,Asia,Western Asia,142,145
Bahamas,BHS,44,Americas,Latin America and the Caribbean,19,419
Bahrain,BHR,48,Asia,Western Asia,142,145
Bangladesh,BGD,50,Asia,Southern Asia,142,34
Barbados,BRB,52,Americas,Latin America and the Caribbean,19,419
Belarus,BLR,112,Europe,Eastern Europe,150,151
Belgium,BEL,56,Europe,Western Europe,150,155
Belize,BLZ,84,Americas,Latin America and the Caribbean,19,419
Benin,BEN,204,Africa,Sub-Saharan Africa,2,202
Bermuda,BMU,60,Americas,Northern America,19,21
Bhutan,BTN,64,Asia,Southern Asia,142,34
Bolivia,BOL,68,Americas,Latin America and the Caribbean,19,419
"Bonaire, Sint Eustatius and Saba",BES,535,Americas,Latin America and the Caribbean,19,419
Bosnia And Herzegovina,BIH,70,Europe,Southern Europe,150,39
Botswana,BWA,72,Africa,Sub-Saharan Africa,2,202
Bouvet Island,BVT,74,Americas,Latin America and the Caribbean,19,419
Brazil,BRA,76,Americas,Latin America and the Caribbean,19,419
British Indian Ocean Territory,IOT,86,Africa,Sub-Saharan Africa,2,202
Brunei Darussalam,BRN,96,Asia,South-eastern Asia,142,35
Bulgaria,BGR,100,Europe,Eastern Europe,150,151
Burkina Faso,BFA,854,Africa,Sub-Saharan Africa,2,202
Burundi,BDI,108,Africa,Sub-Saharan Africa,2,202
Cabo Verde,CPV,132,Africa,Sub-Saharan Africa,2,202
Cambodia,KHM,116,Asia,South-eastern Asia,142,35
Cameroon,CMR,120,Africa,Sub-Saharan Africa,2,202
Canada,CAN,124,Americas,Northern America,19,21
Cayman Islands,CYM,136,Americas,Latin America and the Caribbean,19,419
Central African Republic,CAF,140,Africa,Sub-Saharan Africa,2,202
Chad,TCD,148,Africa,Sub-Saharan Africa,2,202
Chile,CHL,152,Americas,Latin America and the Caribbean,19,419
China,CHN,156,Asia,Eastern Asia,142,30
Christmas Island,CXR,162,Oceania,Australia and New Zealand,9,53
Cocos (Keeling) Islands,CCK,166,Oceania,Australia and New Zealand,9,53
Colombia,COL,170,Americas,Latin America and the Caribbean,19,419
Comoros,COM,174,Africa,Sub-Saharan Africa,2,202
Congo,COG,178,Africa,Sub-Saharan Africa,2,202
Congo (Democratic Republic Of The),COD,180,Africa,Sub-Saharan Africa,2,202
Cook Islands,COK,184,Oceania,Polynesia,9,61
Costa Rica,CRI,188,Americas,Latin America and the Caribbean,19,419
Côte D'Ivoire,CIV,384,Africa,Sub-Saharan Africa,2,202
Croatia,HRV,191,Europe,Southern Europe,150,39
Cuba,CUB,192,Americas,Latin America and the Caribbean,19,419
Curaçao,CUW,531,Americas,Latin America and the Caribbean,19,419
Cyprus,CYP,196,Asia,Western Asia,142,145
Czech Republic,CZE,203,Europe,Eastern Europe,150,151
Denmark,DNK,208,Europe,Northern Europe,150,154
Djibouti,DJI,262,Africa,Sub-Saharan Africa,2,202
Dominica,DMA,212,Americas,Latin America and the Caribbean,19,419
